MESS_DATUM;F;D
2023081002;0.6;160
2023081003;0.9;150
2023081004;0.8;170
2023081005;0.7;150
2023081006;0.9;130
2023081007;0.8;310
2023081008;1.1;200
2023081009;1.3;180
2023081010;1.2;220
2023081011;1.4;360
2023081012;1.8;220
2023081013;2.0;340
2023081014;1.7;270
2023081015;2.0;190
2023081016;1.7;350
2023081017;1.9;340
2023081018;1.5;30
2023081019;2.2;90
2023081020;1.9;100
2023081021;1.8;110
2023081022;2.2;120
2023081023;1.5;100
2023081100;2.2;130
2023081101;1.9;140
2023081102;2.7;120
2023081103;2.7;120
2023081104;1.8;130
2023081105;2.3;130
2023081106;1.7;130
2023081107;2.7;130
2023081108;3.2;140
2023081109;2.7;150
2023081110;2.2;130
2023081111;2.0;110
2023081112;2.0;140
2023081113;2.5;170
2023081114;2.4;160
2023081115;2.7;200
2023081116;3.9;220
2023081117;3.6;220
2023081118;3.0;200
2023081119;1.9;190
2023081120;1.3;70
2023081121;2.0;110
2023081122;2.4;170
2023081123;6.1;310
2023081200;4.2;330
2023081201;1.7;340
2023081202;1.9;80
2023081203;2.2;120
2023081204;2.6;130
2023081205;3.4;130
2023081206;2.9;130
2023081207;3.6;170
2023081208;3.4;170
2023081209;3.9;170
2023081210;4.7;180
2023081211;4.3;170
2023081212;4.3;180
2023081213;4.2;200
2023081214;4.8;230
2023081215;6.3;290
2023081216;5.4;290
2023081217;4.4;290
2023081218;3.9;300
2023081219;2.9;300
2023081220;1.6;280
2023081221;1.6;120
2023081222;1.9;110
2023081223;1.6;120
2023081300;1.6;100
2023081301;1.4;110
2023081302;1.6;110
2023081303;1.6;100
2023081304;1.9;100
2023081305;1.7;110
2023081306;2.2;100
2023081307;1.5;120
2023081308;1.5;150
2023081309;2.2;140
2023081310;2.6;120
2023081311;2.9;130
2023081312;3.3;140
2023081313;3.6;160
2023081314;4.0;200
2023081315;4.1;220
2023081316;3.4;220
2023081317;3.3;210
2023081318;1.9;220
2023081319;2.1;270
2023081320;1.5;300
2023081321;1.6;110
2023081322;1.9;120
2023081323;1.9;100
2023081400;1.9;100
2023081401;2.1;120
2023081402;1.7;120
2023081403;2.5;110
2023081404;1.4;110
2023081405;1.7;100
2023081406;1.5;120
2023081407;1.8;130
2023081408;1.8;130
2023081409;1.2;160
2023081410;1.5;120
2023081411;1.4;150
2023081412;2.7;170
2023081413;4.1;130
2023081414;4.7;110
2023081415;5.9;150
2023081416;6.2;170
2023081417;4.5;170
2023081418;4.4;200
2023081419;2.9;200
2023081420;2.1;180
2023081421;2.0;130
2023081422;1.9;130
2023081423;1.9;120
2023081500;2.0;100
2023081501;1.9;90
2023081502;1.7;100
2023081503;1.4;120
2023081504;3.3;220
2023081505;3.6;130
2023081506;2.5;90
2023081507;1.6;120
2023081508;1.7;160
2023081509;1.6;220
2023081510;1.1;230
2023081511;1.6;300
