MESS_DATUM;TT_TU;RF_TU
2021011604;-1.7;70.0
2021011605;-1.6;71.0
2021011606;-1.7;71.0
2021011607;-2.0;73.0
2021011608;-2.6;76.0
2021011609;-1.2;70.0
2021011610;-0.9;70.0
2021011611;-0.7;68.0
2021011612;-0.2;66.0
2021011613;0.5;65.0
2021011614;0.1;70.0
2021011615;-0.7;76.0
2021011616;-1.8;80.0
2021011617;-1.6;79.0
2021011618;-1.3;79.0
2021011619;-0.8;78.0
2021011620;-1.4;80.0
2021011621;-1.6;83.0
2021011622;-1.8;83.0
2021011623;-2.2;84.0
2021011700;-2.9;87.0
2021011701;-3.0;88.0
2021011702;-2.4;87.0
2021011703;-2.2;87.0
2021011704;-2.0;86.0
2021011705;-2.4;89.0
2021011706;-2.5;89.0
2021011707;-3.2;90.0
2021011708;-3.9;90.0
2021011709;-2.2;89.0
2021011710;-1.5;85.0
2021011711;-1.0;80.0
2021011712;-0.6;77.0
2021011713;0.1;73.0
2021011714;-0.1;74.0
2021011715;-0.2;75.0
2021011716;-0.1;75.0
2021011717;-0.1;75.0
2021011718;-0.2;73.0
2021011719;-0.5;76.0
2021011720;-0.5;78.0
2021011721;-0.5;80.0
2021011722;-0.5;81.0
2021011723;-0.4;83.0
2021011800;-0.3;85.0
2021011801;-0.5;89.0
2021011802;-0.4;94.0
2021011803;0.1;97.0
2021011804;0.2;98.0
2021011805;0.6;99.0
2021011806;0.7;99.0
2021011807;1.2;100.0
2021011808;1.7;100.0
2021011809;2.3;100.0
2021011810;2.9;97.0
2021011811;3.2;96.0
2021011812;3.7;96.0
2021011813;4.1;96.0
2021011814;4.5;94.0
2021011815;4.3;93.0
2021011816;4.1;95.0
2021011817;4.4;94.0
2021011818;4.7;91.0
2021011819;4.8;90.0
2021011820;4.8;90.0
2021011821;4.8;88.0
2021011822;4.8;88.0
2021011823;4.7;89.0
2021011900;4.6;90.0
2021011901;4.7;89.0
2021011902;4.1;90.0
2021011903;4.0;90.0
2021011904;4.2;90.0
2021011905;4.1;93.0
2021011906;3.6;92.0
2021011907;3.3;93.0
2021011908;3.3;92.0
2021011909;3.3;92.0
2021011910;3.0;93.0
2021011911;3.7;93.0
2021011912;4.6;93.0
2021011913;4.7;95.0
2021011914;5.0;96.0
2021011915;5.3;98.0
2021011916;5.6;98.0
2021011917;6.3;99.0
2021011918;6.5;100.0
2021011919;7.2;98.0
2021011920;7.5;99.0
2021011921;8.9;92.0
2021011922;9.0;88.0
2021011923;8.4;93.0
2021012000;8.4;90.0
2021012001;7.9;90.0
2021012002;7.1;91.0
2021012003;6.6;91.0
2021012004;6.3;89.0
2021012005;6.2;89.0
2021012006;6.2;86.0
2021012007;6.0;88.0
2021012008;6.2;87.0
2021012009;7.3;81.0
2021012010;8.1;76.0
2021012011;8.4;74.0
2021012012;8.9;71.0
2021012013;9.3;75.0
2021012014;9.6;74.0
2021012015;10.0;68.0
2021012016;10.2;61.0
2021012017;9.7;62.0
2021012018;9.4;60.0
2021012019;9.3;60.0
2021012020;9.0;61.0
2021012021;9.5;59.0
2021012022;9.5;59.0
2021012023;9.8;58.0
2021012100;9.4;61.0
2021012101;8.5;65.0
2021012102;7.9;68.0
2021012103;7.8;70.0
2021012104;8.4;66.0
2021012105;8.0;68.0
2021012106;8.8;64.0
2021012107;9.8;60.0
2021012108;10.7;61.0
2021012109;6.6;79.0
2021012110;7.3;74.0
2021012111;7.9;70.0
2021012112;8.1;64.0
2021012113;8.2;61.0
2021012114;7.7;62.0
2021012115;8.0;61.0
2021012116;7.9;63.0
2021012117;7.4;65.0
2021012118;7.5;64.0
2021012119;7.4;65.0
2021012120;6.9;67.0
2021012121;5.8;71.0
2021012122;6.0;71.0
2021012123;5.4;85.0
2021012200;5.2;93.0
2021012201;5.8;94.0
2021012202;8.1;87.0
2021012203;8.7;85.0
2021012204;8.8;87.0
2021012205;4.1;91.0
2021012206;3.0;93.0
2021012207;3.1;92.0
2021012208;3.7;88.0
2021012209;4.1;86.0
2021012210;4.1;87.0
2021012211;5.1;80.0
2021012212;5.4;75.0
2021012213;5.6;76.0
2021012214;5.7;72.0
2021012215;5.3;73.0
2021012216;3.9;77.0
2021012217;3.6;78.0
2021012218;3.8;77.0
2021012219;2.6;83.0
2021012220;3.4;82.0
2021012221;2.3;85.0
2021012222;2.1;86.0
2021012223;1.3;90.0
2021012300;1.3;90.0
2021012301;1.0;92.0
2021012302;0.8;94.0
2021012303;0.7;94.0
2021012304;0.3;95.0
2021012305;0.6;95.0
2021012306;0.4;96.0
2021012307;0.7;95.0
2021012308;1.1;93.0
2021012309;1.1;95.0
2021012310;2.1;91.0
2021012311;3.3;84.0
2021012312;3.7;81.0
2021012313;4.6;76.0
2021012314;4.9;75.0
2021012315;4.6;79.0
2021012316;4.4;78.0
2021012317;4.3;76.0
2021012318;4.3;78.0
2021012319;4.1;74.0
2021012320;3.7;73.0
2021012321;3.2;78.0
2021012322;2.7;82.0
2021012323;1.7;88.0
2021012400;1.7;90.0
2021012401;0.8;91.0
2021012402;1.1;92.0
2021012403;0.5;93.0
2021012404;0.8;93.0
2021012405;0.5;95.0
2021012406;0.2;94.0
2021012407;0.2;96.0
2021012408;0.2;96.0
2021012409;0.7;94.0
2021012410;1.6;93.0
2021012411;2.3;92.0
2021012412;2.6;90.0
2021012413;2.7;86.0
2021012414;2.9;89.0
2021012415;2.8;86.0
2021012416;2.2;91.0
2021012417;1.8;92.0
2021012418;1.6;95.0
2021012419;2.3;91.0
2021012420;2.0;94.0
2021012421;2.0;92.0
2021012422;1.8;93.0
2021012423;1.5;97.0
2021012500;1.3;95.0
2021012501;1.5;94.0
2021012502;1.4;94.0
2021012503;1.2;94.0
2021012504;1.2;95.0
2021012505;1.0;96.0
2021012506;0.8;95.0
2021012507;0.7;96.0
2021012508;0.3;97.0
2021012509;0.1;99.0
2021012510;0.3;97.0
2021012511;0.6;93.0
2021012512;1.0;94.0
2021012513;1.2;91.0
2021012514;1.8;90.0
2021012515;2.1;89.0
2021012516;1.5;89.0
2021012517;-0.3;92.0
2021012518;-0.5;96.0
2021012519;-0.4;96.0
2021012520;-0.6;95.0
2021012521;-0.8;95.0
2021012522;-1.1;96.0
2021012523;-1.0;94.0
2021012600;-0.7;92.0
2021012601;-1.8;96.0
2021012602;-2.8;96.0
2021012603;-2.1;97.0
2021012604;-1.7;96.0
2021012605;-1.4;96.0
2021012606;-1.8;98.0
2021012607;-4.2;97.0
2021012608;-3.5;98.0
2021012609;-1.0;93.0
2021012610;0.6;91.0
2021012611;2.3;83.0
2021012612;3.2;82.0
2021012613;4.2;81.0
2021012614;1.9;91.0
2021012615;3.1;87.0
2021012616;2.4;88.0
2021012617;1.9;91.0
2021012618;2.0;90.0
2021012619;1.7;87.0
2021012620;0.5;89.0
2021012621;-0.8;92.0
2021012622;-1.1;95.0
2021012623;-0.3;96.0
2021012700;0.0;96.0
2021012701;-0.8;97.0
2021012702;0.7;97.0
