MESS_DATUM;F;D
2020121612;3.9;170
2020121613;4.5;160
2020121614;4.8;150
2020121615;4.4;130
2020121616;4.1;130
2020121617;4.7;130
2020121618;5.7;140
2020121619;5.8;140
2020121620;6.4;140
2020121621;7.6;150
2020121622;6.7;140
2020121623;6.3;140
2020121700;6.4;140
2020121701;5.5;140
2020121702;5.4;150
2020121703;5.4;150
2020121704;5.2;160
2020121705;3.9;150
2020121706;3.5;130
2020121707;4.2;140
2020121708;5.2;150
2020121709;5.0;150
2020121710;4.6;150
2020121711;5.6;180
2020121712;7.4;210
2020121713;5.7;230
2020121714;3.8;260
2020121715;3.0;230
2020121716;3.6;220
2020121717;3.7;220
2020121718;4.5;230
2020121719;4.1;230
2020121720;4.5;220
2020121721;4.3;220
2020121722;3.9;230
2020121723;4.2;230
2020121800;4.4;230
2020121801;3.9;230
2020121802;3.7;220
2020121803;3.9;220
2020121804;4.1;220
2020121805;4.0;210
2020121806;3.8;200
2020121807;3.6;180
2020121808;3.5;180
2020121809;3.9;160
2020121810;4.9;170
2020121811;4.7;170
2020121812;4.1;180
2020121813;3.8;190
2020121814;4.7;180
2020121815;5.3;170
2020121816;5.1;170
2020121817;5.0;170
2020121818;5.0;170
2020121819;4.2;160
2020121820;3.8;150
2020121821;3.5;150
2020121822;3.1;150
2020121823;3.4;150
2020121900;3.1;150
2020121901;3.3;150
2020121902;3.1;140
2020121903;3.4;140
2020121904;3.5;140
2020121905;3.5;150
2020121906;3.9;150
2020121907;3.9;150
2020121908;3.8;150
2020121909;4.1;150
2020121910;4.2;160
2020121911;4.2;150
2020121912;4.4;160
2020121913;4.4;150
2020121914;4.4;150
2020121915;4.1;150
2020121916;4.4;140
2020121917;4.2;150
2020121918;3.6;140
2020121919;4.3;160
2020121920;4.6;160
2020121921;4.6;170
2020121922;4.9;180
2020121923;4.0;180
2020122000;3.2;160
2020122001;3.4;170
2020122002;3.2;170
2020122003;1.9;130
2020122004;2.7;150
2020122005;1.7;150
2020122006;3.0;150
2020122007;3.0;160
2020122008;2.8;150
2020122009;3.0;160
2020122010;2.9;150
2020122011;3.6;160
2020122012;4.2;160
2020122013;3.7;160
2020122014;2.7;160
2020122015;2.6;160
2020122016;2.2;160
2020122017;3.0;160
2020122018;3.4;170
2020122019;3.6;180
2020122020;3.3;170
2020122021;2.9;160
2020122022;3.8;170
2020122023;3.7;170
2020122100;4.9;210
2020122101;5.1;210
2020122102;4.8;210
2020122103;5.4;210
2020122104;4.7;210
2020122105;4.9;210
2020122106;4.7;210
2020122107;5.5;210
2020122108;5.3;210
2020122109;5.6;210
2020122110;5.6;210
2020122111;5.8;210
2020122112;5.6;210
2020122113;4.8;190
2020122114;4.7;180
2020122115;4.9;150
2020122116;5.7;150
2020122117;5.3;150
2020122118;5.8;150
2020122119;5.6;140
2020122120;6.0;140
2020122121;7.0;140
2020122122;7.5;150
2020122123;7.3;150
2020122200;6.9;160
2020122201;6.5;160
2020122202;5.6;160
2020122203;5.0;160
2020122204;4.2;160
2020122205;3.4;180
2020122206;5.5;210
2020122207;6.2;230
2020122208;5.2;240
2020122209;5.0;250
2020122210;5.2;250
2020122211;5.3;280
2020122212;7.5;290
2020122213;7.1;280
2020122214;6.9;280
2020122215;6.6;290
2020122216;4.1;290
2020122217;3.5;290
2020122218;2.6;280
2020122219;2.2;260
2020122220;2.1;240
2020122221;2.3;240
2020122222;2.7;240
2020122223;2.3;240
2020122300;1.6;250
2020122301;1.0;240
2020122302;0.8;200
2020122303;0.3;120
2020122304;0.5;110
2020122305;0.7;180
2020122306;0.9;230
2020122307;0.7;100
2020122308;1.5;110
2020122309;1.6;90
2020122310;1.7;130
2020122311;1.8;110
2020122312;1.7;80
2020122313;2.6;70
2020122314;3.0;70
2020122315;4.0;60
2020122316;4.0;60
2020122317;4.5;60
2020122318;4.4;70
2020122319;4.8;70
2020122320;4.4;50
2020122321;4.5;50
2020122322;3.9;40
2020122323;4.3;50
2020122400;4.3;50
2020122401;4.8;40
2020122402;3.8;40
2020122403;3.1;20
2020122404;4.2;360
2020122405;4.6;10
2020122406;4.2;360
2020122407;3.8;350
2020122408;3.4;340
2020122409;3.6;330
2020122410;3.0;310
2020122411;2.8;290
