MESS_DATUM;V_N
2023041822;8
2023041823;7
2023041900;8
2023041901;5
2023041902;3
2023041903;8
2023041904;8
2023041905;8
2023041906;4
2023041907;0
2023041908;0
2023041909;0
2023041910;1
2023041911;0
2023041912;0
2023041913;0
2023041914;0
2023041915;0
2023041916;0
2023041917;7
2023041918;8
2023041919;7
2023041920;4
2023041921;8
2023041922;8
2023041923;8
2023042000;8
2023042001;8
2023042002;8
2023042003;8
2023042004;7
2023042005;8
2023042006;8
2023042007;8
2023042008;8
2023042009;7
2023042010;8
2023042011;7
2023042012;8
2023042013;8
2023042014;8
2023042015;8
2023042016;7
2023042017;8
2023042018;0
2023042019;2
2023042020;0
2023042021;3
2023042022;8
2023042023;0
2023042100;0
2023042101;0
2023042102;0
2023042103;0
2023042104;0
2023042105;0
2023042106;0
2023042107;0
2023042108;0
2023042109;0
2023042110;0
2023042111;0
2023042112;0
2023042113;0
2023042114;2
2023042115;3
2023042116;1
2023042117;0
2023042118;0
2023042119;0
2023042120;0
2023042121;0
2023042122;0
2023042123;6
2023042200;0
2023042201;0
2023042202;0
2023042203;0
2023042204;0
2023042205;0
2023042206;0
2023042207;0
2023042208;3
2023042209;7
2023042210;7
2023042211;3
2023042212;8
2023042213;1
2023042214;6
2023042215;7
2023042216;8
2023042217;6
2023042218;8
2023042219;8
2023042220;8
2023042221;8
2023042222;8
2023042223;8
2023042300;7
2023042301;7
2023042302;8
2023042303;8
2023042304;7
2023042305;8
2023042306;8
2023042307;8
2023042308;8
2023042309;8
2023042310;8
2023042311;0
2023042312;0
2023042313;1
2023042314;7
2023042315;8
2023042316;6
2023042317;8
2023042318;7
2023042319;8
2023042320;8
2023042321;8
2023042322;8
2023042323;8
2023042400;8
2023042401;8
2023042402;7
2023042403;0
2023042404;0
2023042405;1
2023042406;1
2023042407;1
2023042408;4
2023042409;8
2023042410;8
2023042411;7
2023042412;8
2023042413;8
2023042414;8
2023042415;7
2023042416;7
2023042417;7
2023042418;7
2023042419;8
2023042420;8
2023042421;7
2023042422;8
2023042423;8
2023042500;8
2023042501;8
2023042502;8
2023042503;8
2023042504;2
2023042505;7
2023042506;8
2023042507;8
2023042508;7
2023042509;8
2023042510;8
2023042511;7
2023042512;6
2023042513;5
2023042514;7
2023042515;4
2023042516;7
2023042517;7
2023042518;7
2023042519;0
2023042520;2
2023042521;0
2023042522;3
2023042523;2
2023042600;8
2023042601;6
2023042602;4
2023042603;3
2023042604;7
2023042605;7
2023042606;4
2023042607;1
2023042608;7
2023042609;6
2023042610;5
2023042611;6
2023042612;7
2023042613;5
2023042614;1
2023042615;7
2023042616;7
2023042617;8
2023042618;0
2023042619;2
2023042620;0
2023042621;6
2023042622;8
2023042623;4
2023042700;8
2023042701;0
2023042702;2
2023042703;7
2023042704;0
2023042705;7
2023042706;0
2023042707;0
2023042708;7
2023042709;8
2023042710;7
2023042711;8
2023042712;8
2023042713;8
2023042714;8
2023042715;8
2023042716;8
2023042717;7
2023042718;6
2023042719;8
2023042720;8
2023042721;8
2023042722;8
2023042723;8
2023042800;8
2023042801;8
2023042802;6
2023042803;5
2023042804;5
2023042805;8
2023042806;4
2023042807;8
2023042808;8
2023042809;8
2023042810;8
2023042811;8
2023042812;8
2023042813;8
2023042814;8
2023042815;7
2023042816;8
2023042817;8
2023042818;8
2023042819;8
2023042820;8
2023042821;7
2023042822;8
2023042823;8
2023042900;8
2023042901;8
2023042902;8
2023042903;7
2023042904;8
2023042905;7
2023042906;1
2023042907;4
2023042908;4
2023042909;0
2023042910;0
2023042911;3
2023042912;5
2023042913;4
2023042914;0
2023042915;3
2023042916;2
2023042917;3
2023042918;1
2023042919;0
2023042920;0
2023042921;0
2023042922;0
2023042923;0
2023043000;0
2023043001;0
2023043002;0
2023043003;0
2023043004;0
2023043005;0
2023043006;0
2023043007;0
2023043008;5
2023043009;0
2023043010;0
2023043011;0
2023043012;0
2023043013;1
2023043014;0
2023043015;4
2023043016;1
2023043017;0
2023043018;0
2023043019;0
2023043020;1
2023043021;7
2023043022;8
2023043023;8
2023050100;8
2023050101;8
2023050102;8
2023050103;8
2023050104;7
2023050105;8
2023050106;8
2023050107;7
2023050108;8
2023050109;7
2023050110;8
2023050111;8
2023050112;8
2023050113;8
2023050114;8
2023050115;7
2023050116;8
2023050117;8
2023050118;8
2023050119;8
2023050120;7
2023050121;8
2023050122;7
2023050123;7
2023050200;8
2023050201;7
2023050202;8
2023050203;8
2023050204;8
2023050205;8
2023050206;8
2023050207;8
2023050208;8
2023050209;8
2023050210;7
2023050211;7
2023050212;8
2023050213;7
2023050214;7
2023050215;7
2023050216;7
2023050217;4
2023050218;7
2023050219;8
2023050220;8
2023050221;2
2023050222;0
2023050223;0
2023050300;0
2023050301;0
2023050302;7
2023050303;8
2023050304;7
2023050305;8
2023050306;8
2023050307;7
2023050308;8
2023050309;6
2023050310;8
2023050311;6
2023050312;3
2023050313;1
2023050314;1
2023050315;7
2023050316;1
2023050317;0
2023050318;0
2023050319;2
2023050320;3
2023050321;4
2023050322;3
2023050323;7
2023050400;7
2023050401;0
2023050402;0
2023050403;0
2023050404;4
2023050405;7
2023050406;6
2023050407;6
2023050408;8
2023050409;8
2023050410;8
2023050411;8
2023050412;8
2023050413;8
2023050414;8
2023050415;8
2023050416;8
2023050417;8
2023050418;8
2023050419;8
2023050420;8
2023050421;8
2023050422;8
2023050423;8
2023050500;8
2023050501;8
2023050502;8
2023050503;8
2023050504;7
2023050505;8
2023050506;8
2023050507;8
2023050508;8
2023050509;8
2023050510;8
2023050511;8
2023050512;8
2023050513;8
2023050514;7
2023050515;8
2023050516;8
2023050517;8
2023050518;7
2023050519;8
2023050520;8
