MESS_DATUM;V_N
2015013001;8
2015013002;8
2015013003;8
2015013004;8
2015013005;8
2015013006;7
2015013007;7
2015013008;7
2015013009;7
2015013010;8
2015013011;8
2015013012;7
2015013013;7
2015013014;7
2015013015;7
2015013016;6
2015013017;8
2015013018;7
2015013019;7
2015013020;7
2015013021;8
2015013022;8
2015013023;8
2015013100;8
2015013101;8
2015013102;7
2015013103;7
2015013104;7
2015013105;7
2015013106;7
2015013107;7
2015013108;6
2015013109;7
2015013110;7
2015013111;8
2015013112;8
2015013113;7
2015013114;7
2015013115;7
2015013116;7
2015013117;6
2015013118;7
2015013119;5
2015013120;1
2015013121;0
2015013122;2
2015013123;3
2015020100;2
2015020101;3
2015020102;5
2015020103;7
2015020104;7
2015020105;1
2015020106;4
2015020107;1
2015020108;1
2015020109;1
2015020110;1
2015020111;2
2015020112;3
2015020113;5
2015020114;6
2015020115;4
2015020116;5
2015020117;1
2015020118;1
2015020119;0
2015020120;0
2015020121;2
2015020122;6
2015020123;7
2015020200;7
2015020201;7
2015020202;7
2015020203;8
2015020204;7
2015020205;7
2015020206;7
2015020207;6
2015020208;6
2015020209;7
2015020210;7
2015020211;5
2015020212;7
2015020213;7
2015020214;7
2015020215;7
2015020216;7
2015020217;4
2015020218;4
2015020219;7
2015020220;7
2015020221;7
2015020222;7
2015020223;6
2015020300;7
2015020301;7
2015020302;6
2015020303;7
2015020304;7
2015020305;6
2015020306;6
2015020307;7
2015020308;7
2015020309;7
2015020310;7
2015020311;7
2015020312;7
2015020313;8
2015020314;7
2015020315;8
2015020316;7
2015020317;4
2015020318;7
2015020319;8
2015020320;8
2015020321;8
2015020322;8
2015020323;7
2015020400;6
2015020401;5
2015020402;4
2015020403;6
2015020404;7
2015020405;8
2015020406;8
2015020407;8
2015020408;8
2015020409;8
2015020410;8
2015020411;8
2015020412;8
2015020413;7
2015020414;7
2015020415;5
2015020416;7
2015020417;7
2015020418;7
2015020419;7
2015020420;8
2015020421;8
2015020422;8
2015020423;8
2015020500;8
2015020501;8
2015020502;8
2015020503;8
2015020504;8
2015020505;8
2015020506;8
2015020507;8
2015020508;8
2015020509;8
2015020510;8
2015020511;7
2015020512;7
2015020513;6
2015020514;4
2015020515;7
2015020516;5
2015020517;6
2015020518;6
2015020519;7
2015020520;6
2015020521;3
2015020522;7
2015020523;7
2015020600;7
2015020601;8
2015020602;8
2015020603;8
2015020604;8
2015020605;7
2015020606;6
2015020607;8
2015020608;8
2015020609;8
2015020610;8
2015020611;8
2015020612;8
2015020613;8
2015020614;8
2015020615;7
2015020616;7
2015020617;7
2015020618;7
2015020619;7
2015020620;8
2015020621;8
2015020622;8
2015020623;7
2015020700;7
2015020701;6
2015020702;5
2015020703;5
2015020704;7
2015020705;8
2015020706;8
2015020707;6
2015020708;2
2015020709;2
2015020710;1
2015020711;1
2015020712;1
2015020713;7
2015020714;7
2015020715;8
