MESS_DATUM;V_N
2015022418;7
2015022419;6
2015022420;6
2015022421;2
2015022422;1
2015022423;7
2015022500;7
2015022501;7
2015022502;7
2015022503;7
2015022504;0
2015022505;1
2015022506;2
2015022507;2
2015022508;2
2015022509;3
2015022510;4
2015022511;5
2015022512;7
2015022513;7
2015022514;7
2015022515;8
2015022516;8
2015022517;8
2015022518;8
2015022519;8
2015022520;8
2015022521;8
2015022522;8
2015022523;8
2015022600;8
2015022601;8
2015022602;8
2015022603;8
2015022604;7
2015022605;7
2015022606;7
2015022607;3
2015022608;1
2015022609;2
2015022610;7
2015022611;7
2015022612;7
2015022613;7
2015022614;7
2015022615;7
2015022616;7
2015022617;7
2015022618;8
2015022619;8
2015022620;8
2015022621;8
2015022622;8
2015022623;8
2015022700;8
2015022701;8
2015022702;8
2015022703;8
2015022704;8
2015022705;8
2015022706;8
2015022707;8
2015022708;8
2015022709;8
2015022710;8
2015022711;8
2015022712;8
2015022713;8
2015022714;8
2015022715;8
2015022716;7
2015022717;7
2015022718;4
2015022719;0
2015022720;0
2015022721;1
2015022722;6
2015022723;5
2015022800;0
2015022801;4
2015022802;2
2015022803;0
2015022804;0
2015022805;0
2015022806;0
2015022807;2
2015022808;3
2015022809;3
2015022810;4
2015022811;5
2015022812;5
2015022813;5
2015022814;6
2015022815;5
2015022816;3
2015022817;3
2015022818;3
2015022819;3
2015022820;6
2015022821;8
2015022822;8
2015022823;8
2015030100;8
2015030101;8
2015030102;8
2015030103;8
2015030104;8
2015030105;8
2015030106;8
2015030107;8
2015030108;8
2015030109;8
2015030110;6
2015030111;5
2015030112;5
2015030113;7
2015030114;7
2015030115;7
2015030116;5
2015030117;7
2015030118;7
2015030119;7
2015030120;7
2015030121;7
2015030122;8
2015030123;6
2015030200;6
2015030201;8
2015030202;7
2015030203;7
2015030204;7
2015030205;7
2015030206;6
2015030207;7
2015030208;6
2015030209;3
2015030210;5
2015030211;2
2015030212;4
2015030213;6
2015030214;7
2015030215;8
2015030216;7
2015030217;2
2015030218;4
2015030219;3
2015030220;1
2015030221;6
2015030222;2
2015030223;1
2015030300;0
2015030301;0
2015030302;1
2015030303;3
2015030304;4
2015030305;7
2015030306;2
2015030307;1
2015030308;7
2015030309;6
2015030310;7
2015030311;7
2015030312;7
2015030313;7
2015030314;7
2015030315;7
2015030316;7
2015030317;7
2015030318;7
2015030319;5
2015030320;7
2015030321;7
2015030322;7
2015030323;6
2015030400;3
2015030401;2
2015030402;1
2015030403;1
2015030404;0
2015030405;0
2015030406;1
2015030407;5
2015030408;3
2015030409;7
2015030410;7
2015030411;7
2015030412;3
2015030413;7
2015030414;6
2015030415;7
2015030416;6
2015030417;4
2015030418;6
2015030419;8
2015030420;7
2015030421;7
2015030422;7
2015030423;7
2015030500;6
2015030501;7
2015030502;7
2015030503;7
2015030504;5
2015030505;3
2015030506;7
2015030507;7
2015030508;7
2015030509;7
2015030510;7
2015030511;7
2015030512;7
2015030513;7
2015030514;7
2015030515;7
2015030516;7
2015030517;7
2015030518;7
2015030519;7
2015030520;7
2015030521;3
2015030522;4
2015030523;3
2015030600;1
2015030601;1
2015030602;1
2015030603;3
2015030604;7
2015030605;8
2015030606;7
2015030607;7
2015030608;7
2015030609;7
2015030610;7
2015030611;7
2015030612;7
2015030613;7
2015030614;7
2015030615;7
2015030616;7
2015030617;6
2015030618;4
2015030619;1
2015030620;1
2015030621;1
2015030622;1
2015030623;0
2015030700;0
2015030701;0
2015030702;1
2015030703;3
2015030704;2
2015030705;6
2015030706;6
2015030707;7
2015030708;7
2015030709;7
2015030710;7
2015030711;7
2015030712;7
2015030713;5
2015030714;6
2015030715;6
2015030716;3
2015030717;4
2015030718;2
2015030719;3
2015030720;5
2015030721;5
2015030722;5
2015030723;6
2015030800;6
2015030801;7
2015030802;6
2015030803;5
2015030804;4
2015030805;3
2015030806;3
2015030807;5
2015030808;4
2015030809;5
2015030810;5
2015030811;3
2015030812;5
2015030813;6
2015030814;7
2015030815;7
2015030816;7
2015030817;7
2015030818;7
2015030819;4
2015030820;2
2015030821;1
2015030822;5
2015030823;4
2015030900;1
2015030901;7
2015030902;1
2015030903;8
2015030904;8
2015030905;8
2015030906;8
2015030907;8
2015030908;8
2015030909;8
2015030910;7
2015030911;8
2015030912;7
2015030913;7
2015030914;5
2015030915;5
2015030916;6
2015030917;6
2015030918;6
2015030919;2
2015030920;1
2015030921;2
2015030922;3
2015030923;5
2015031000;3
2015031001;5
2015031002;3
2015031003;7
2015031004;8
2015031005;8
2015031006;8
2015031007;8
2015031008;8
2015031009;8
2015031010;8
2015031011;8
2015031012;8
2015031013;8
2015031014;7
2015031015;7
2015031016;3
2015031017;4
2015031018;6
2015031019;4
2015031020;5
2015031021;1
2015031022;1
2015031023;0
2015031100;0
2015031101;0
2015031102;1
2015031103;1
2015031104;2
2015031105;2
2015031106;3
2015031107;5
2015031108;4
2015031109;4
2015031110;3
2015031111;3
2015031112;3
2015031113;4
2015031114;3
2015031115;3
2015031116;2
2015031117;2
2015031118;2
2015031119;1
2015031120;1
2015031121;1
2015031122;2
2015031123;1
2015031200;1
2015031201;2
2015031202;3
2015031203;2
2015031204;1
2015031205;1
2015031206;1
2015031207;1
2015031208;1
2015031209;1
2015031210;1
2015031211;1
2015031212;1
2015031213;1
2015031214;1
2015031215;1
2015031216;1
2015031217;1
2015031218;1
2015031219;1
2015031220;0
2015031221;0
2015031222;0
2015031223;0
2015031300;0
2015031301;0
2015031302;0
2015031303;0
2015031304;0
2015031305;1
2015031306;1
2015031307;1
2015031308;1
2015031309;0
2015031310;3
2015031311;7
2015031312;6
2015031313;6
2015031314;6
2015031315;6
2015031316;7
2015031317;7
2015031318;8
2015031319;8
2015031320;8
2015031321;7
2015031322;7
2015031323;7
2015031400;7
2015031401;7
2015031402;1
2015031403;0
2015031404;0
2015031405;6
2015031406;7
2015031407;7
2015031408;7
2015031409;7
2015031410;8
2015031411;8
2015031412;8
2015031413;8
2015031414;8
2015031415;8
2015031416;8
2015031417;8
2015031418;8
2015031419;7
2015031420;7
2015031421;7
2015031422;7
2015031423;7
2015031500;7
2015031501;7
2015031502;6
2015031503;7
2015031504;8
2015031505;8
2015031506;8
2015031507;8
2015031508;7
2015031509;7
2015031510;8
2015031511;8
2015031512;7
2015031513;8
2015031514;8
2015031515;8
2015031516;8
2015031517;8
2015031518;8
2015031519;8
2015031520;8
2015031521;8
2015031522;2
2015031523;0
2015031600;0
2015031601;0
2015031602;0
2015031603;0
2015031604;0
2015031605;0
2015031606;4
2015031607;6
2015031608;6
2015031609;6
2015031610;6
2015031611;6
2015031612;6
2015031613;3
2015031614;1
2015031615;2
2015031616;2
2015031617;4
2015031618;6
2015031619;3
2015031620;0
2015031621;0
2015031622;0
2015031623;0
2015031700;0
2015031701;0
2015031702;3
2015031703;4
2015031704;4
2015031705;4
2015031706;4
2015031707;5
2015031708;4
2015031709;2
2015031710;3
2015031711;2
2015031712;2
2015031713;2
2015031714;3
2015031715;3
2015031716;3
2015031717;2
2015031718;2
2015031719;2
2015031720;2
2015031721;2
2015031722;0
2015031723;0
2015031800;0
2015031801;0
2015031802;0
2015031803;0
2015031804;2
2015031805;2
2015031806;2
2015031807;3
2015031808;3
2015031809;2
2015031810;3
2015031811;4
2015031812;5
2015031813;5
2015031814;6
2015031815;6
2015031816;7
2015031817;7
2015031818;7
2015031819;4
2015031820;4
2015031821;4
2015031822;7
2015031823;8
2015031900;8
2015031901;8
2015031902;8
2015031903;8
2015031904;8
2015031905;8
2015031906;8
2015031907;8
2015031908;8
2015031909;8
2015031910;8
2015031911;8
2015031912;8
2015031913;8
2015031914;8
2015031915;8
2015031916;8
2015031917;8
2015031918;8
2015031919;8
2015031920;8
2015031921;8
2015031922;8
2015031923;8
2015032000;8
2015032001;8
2015032002;8
2015032003;8
2015032004;8
2015032005;8
2015032006;8
2015032007;8
2015032008;8
2015032009;8
2015032010;8
2015032011;8
2015032012;7
2015032013;5
2015032014;2
2015032015;1
2015032016;0
2015032017;2
2015032018;2
2015032019;2
2015032020;7
2015032021;7
2015032022;8
2015032023;8
2015032100;8
2015032101;8
2015032102;8
2015032103;8
2015032104;8
2015032105;8
2015032106;8
2015032107;8
2015032108;8
2015032109;8
2015032110;8
2015032111;7
2015032112;8
2015032113;8
