MESS_DATUM;TT_TU;RF_TU
2024033020;8.1;63.0
2024033021;7.7;65.0
2024033022;7.4;67.0
2024033023;8.6;58.0
2024033100;7.9;65.0
2024033101;7.7;65.0
2024033102;7.4;67.0
2024033103;7.4;69.0
2024033104;8.0;61.0
2024033105;7.0;73.0
2024033106;6.8;73.0
2024033107;6.5;72.0
2024033108;6.0;72.0
2024033109;7.4;71.0
2024033110;10.3;63.0
2024033111;7.5;77.0
2024033112;8.1;77.0
2024033113;10.8;68.0
2024033114;9.4;73.0
2024033115;9.6;73.0
2024033116;7.8;85.0
2024033117;6.9;89.0
2024033118;6.5;94.0
2024033119;6.6;93.0
2024033120;9.6;65.0
2024033121;9.1;73.0
2024033122;8.8;74.0
2024033123;7.9;80.0
2024040100;7.7;84.0
2024040101;8.1;81.0
2024040102;7.9;77.0
2024040103;8.9;64.0
2024040104;9.5;60.0
2024040105;9.4;63.0
2024040106;6.8;84.0
2024040107;8.8;63.0
2024040108;9.1;61.0
2024040109;8.6;65.0
2024040110;8.1;72.0
2024040111;7.5;74.0
2024040112;5.5;95.0
2024040113;4.1;97.0
2024040114;4.2;99.0
2024040115;3.3;99.0
2024040116;3.0;98.0
2024040117;2.3;98.0
2024040118;2.0;98.0
2024040119;1.1;97.0
2024040120;1.2;98.0
2024040121;1.6;98.0
2024040122;1.8;99.0
2024040123;2.2;99.0
2024040200;2.4;99.0
2024040201;2.2;99.0
2024040202;2.1;98.0
2024040203;2.1;98.0
2024040204;1.6;98.0
2024040205;1.7;99.0
2024040206;1.6;99.0
2024040207;1.6;99.0
2024040208;1.5;99.0
2024040209;1.6;99.0
2024040210;1.6;99.0
2024040211;2.0;100.0
2024040212;2.7;98.0
2024040213;2.7;96.0
2024040214;3.3;86.0
2024040215;3.1;92.0
2024040216;2.8;93.0
2024040217;2.2;98.0
2024040218;2.1;98.0
2024040219;2.1;99.0
2024040220;2.1;99.0
2024040221;2.0;98.0
2024040222;1.9;98.0
2024040223;1.7;98.0
2024040300;1.9;98.0
2024040301;2.0;98.0
2024040302;1.8;98.0
2024040303;1.8;98.0
2024040304;1.9;98.0
2024040305;2.3;98.0
2024040306;2.4;100.0
2024040307;2.6;100.0
2024040308;2.7;98.0
2024040309;3.3;98.0
2024040310;3.0;99.0
2024040311;3.0;99.0
2024040312;3.0;99.0
2024040313;3.1;99.0
2024040314;3.2;99.0
2024040315;3.3;99.0
2024040316;3.0;99.0
2024040317;3.1;99.0
2024040318;3.3;99.0
2024040319;3.3;99.0
2024040320;3.6;99.0
2024040321;4.0;99.0
2024040322;4.1;99.0
2024040323;4.2;100.0
2024040400;3.2;100.0
2024040401;2.6;100.0
2024040402;2.3;98.0
2024040403;1.8;99.0
2024040404;1.5;98.0
2024040405;1.4;98.0
2024040406;1.8;99.0
2024040407;2.3;98.0
2024040408;3.2;99.0
2024040409;4.4;99.0
2024040410;5.1;99.0
2024040411;5.5;99.0
2024040412;5.4;99.0
2024040413;5.4;100.0
2024040414;5.2;98.0
2024040415;5.0;99.0
2024040416;4.6;98.0
2024040417;4.1;99.0
2024040418;3.8;98.0
2024040419;3.7;99.0
2024040420;3.7;99.0
2024040421;3.8;99.0
2024040422;4.0;99.0
2024040423;4.2;99.0
2024040500;4.2;99.0
2024040501;3.8;99.0
2024040502;3.5;99.0
2024040503;3.7;99.0
2024040504;4.1;99.0
2024040505;4.9;99.0
2024040506;5.2;99.0
2024040507;5.7;100.0
2024040508;5.9;100.0
2024040509;6.5;100.0
2024040510;7.4;100.0
2024040511;7.2;100.0
2024040512;7.9;100.0
2024040513;8.4;100.0
2024040514;8.6;97.0
2024040515;9.1;92.0
2024040516;9.4;83.0
2024040517;8.8;90.0
2024040518;8.7;89.0
2024040519;8.1;92.0
2024040520;7.6;95.0
2024040521;7.5;95.0
2024040522;7.5;95.0
2024040523;7.4;97.0
2024040600;7.4;99.0
2024040601;7.5;99.0
2024040602;7.6;99.0
2024040603;7.7;99.0
2024040604;7.5;99.0
2024040605;7.1;99.0
2024040606;7.1;99.0
2024040607;7.7;99.0
2024040608;8.6;98.0
2024040609;10.0;84.0
2024040610;12.3;70.0
2024040611;13.0;66.0
2024040612;14.1;56.0
2024040613;15.3;51.0
2024040614;15.0;55.0
2024040615;15.4;50.0
2024040616;15.4;47.0
2024040617;15.1;44.0
2024040618;15.2;45.0
2024040619;14.7;54.0
2024040620;14.7;54.0
2024040621;15.0;45.0
2024040622;14.9;44.0
2024040623;16.0;37.0
2024040700;16.2;37.0
2024040701;15.9;39.0
2024040702;15.3;41.0
