MESS_DATUM;SD_SO
2023080214;0.0
2023080215;0.0
2023080216;0.0
2023080217;0.0
2023080218;0.0
2023080219;0.0
2023080220;0.0
2023080303;0.0
2023080304;0.0
2023080305;0.0
2023080306;0.0
2023080307;0.0
2023080308;0.0
2023080309;0.0
2023080310;0.0
2023080311;0.0
2023080312;0.0
2023080313;0.0
2023080314;0.0
2023080315;0.0
2023080316;0.0
2023080317;0.0
2023080318;0.0
2023080319;0.0
2023080320;0.0
2023080403;0.0
2023080404;0.0
2023080405;0.0
2023080406;5.0
2023080407;60.0
2023080408;50.0
2023080409;28.0
2023080410;1.0
2023080411;0.0
2023080412;0.0
2023080413;7.0
2023080414;39.0
2023080415;45.0
2023080416;32.0
2023080417;42.0
2023080418;29.0
2023080419;12.0
2023080420;0.0
2023080503;0.0
2023080504;0.0
2023080505;0.0
2023080506;0.0
2023080507;26.0
2023080508;23.0
2023080509;14.0
2023080510;0.0
2023080511;5.0
2023080512;10.0
2023080513;46.0
2023080514;18.0
2023080515;32.0
2023080516;9.0
2023080517;5.0
2023080518;2.0
2023080519;0.0
2023080520;0.0
2023080603;0.0
2023080604;0.0
2023080605;0.0
2023080606;0.0
2023080607;24.0
2023080608;49.0
2023080609;35.0
2023080610;0.0
2023080611;0.0
2023080612;24.0
2023080613;28.0
2023080614;18.0
2023080615;6.0
2023080616;20.0
2023080617;21.0
2023080618;3.0
2023080619;0.0
2023080620;0.0
2023080703;0.0
2023080704;0.0
2023080705;0.0
2023080706;0.0
2023080707;0.0
2023080708;0.0
2023080709;0.0
2023080710;0.0
2023080711;0.0
2023080712;0.0
2023080713;0.0
2023080714;3.0
2023080715;1.0
2023080716;9.0
2023080717;6.0
2023080718;0.0
2023080719;0.0
2023080720;0.0
2023080803;0.0
2023080804;0.0
2023080805;0.0
2023080806;0.0
2023080807;0.0
2023080808;0.0
2023080809;5.0
2023080810;1.0
2023080811;3.0
2023080812;6.0
2023080813;14.0
2023080814;19.0
2023080815;38.0
2023080816;17.0
2023080817;16.0
2023080818;2.0
2023080819;0.0
2023080820;0.0
2023080903;0.0
2023080904;0.0
2023080905;0.0
2023080906;0.0
2023080907;9.0
2023080908;24.0
2023080909;16.0
2023080910;27.0
2023080911;40.0
2023080912;39.0
2023080913;52.0
2023080914;40.0
2023080915;34.0
2023080916;23.0
2023080917;20.0
2023080918;44.0
2023080919;16.0
2023080920;0.0
2023081003;0.0
2023081004;0.0
2023081005;29.0
2023081006;21.0
2023081007;11.0
2023081008;44.0
2023081009;53.0
2023081010;58.0
2023081011;60.0
2023081012;59.0
2023081013;58.0
2023081014;60.0
2023081015;60.0
2023081016;49.0
2023081017;60.0
2023081018;60.0
2023081019;16.0
2023081020;0.0
2023081103;0.0
2023081104;0.0
2023081105;39.0
2023081106;60.0
2023081107;60.0
2023081108;60.0
2023081109;60.0
2023081110;60.0
2023081111;60.0
2023081112;60.0
2023081113;60.0
2023081114;60.0
2023081115;60.0
2023081116;59.0
2023081117;60.0
2023081118;24.0
2023081119;17.0
2023081120;0.0
2023081203;0.0
2023081204;0.0
2023081205;0.0
2023081206;0.0
2023081207;0.0
2023081208;0.0
2023081209;0.0
2023081210;2.0
2023081211;1.0
2023081212;3.0
2023081213;20.0
2023081214;3.0
2023081215;0.0
2023081216;0.0
2023081217;18.0
2023081218;12.0
2023081219;5.0
2023081220;0.0
2023081303;0.0
2023081304;0.0
2023081305;11.0
2023081306;59.0
2023081307;40.0
2023081308;46.0
2023081309;38.0
2023081310;51.0
2023081311;21.0
2023081312;18.0
2023081313;25.0
2023081314;35.0
2023081315;2.0
2023081316;0.0
2023081317;0.0
2023081318;17.0
2023081319;30.0
2023081320;0.0
2023081403;0.0
2023081404;0.0
2023081405;7.0
2023081406;35.0
2023081407;60.0
2023081408;60.0
2023081409;60.0
2023081410;56.0
2023081411;50.0
2023081412;3.0
2023081413;9.0
2023081414;24.0
2023081415;0.0
2023081416;41.0
2023081417;11.0
2023081418;0.0
2023081419;5.0
2023081420;0.0
2023081503;0.0
2023081504;0.0
2023081505;16.0
2023081506;30.0
2023081507;20.0
2023081508;0.0
2023081509;57.0
2023081510;60.0
2023081511;60.0
2023081512;60.0
2023081513;60.0
2023081514;53.0
2023081515;5.0
2023081516;0.0
2023081517;0.0
2023081518;0.0
2023081519;0.0
2023081520;0.0
2023081603;0.0
2023081604;0.0
2023081605;0.0
2023081606;3.0
2023081607;8.0
2023081608;6.0
2023081609;12.0
2023081610;0.0
2023081611;0.0
2023081612;10.0
2023081613;32.0
2023081614;10.0
2023081615;2.0
2023081616;16.0
2023081617;31.0
2023081618;4.0
2023081619;0.0
2023081620;0.0
2023081703;0.0
2023081704;0.0
2023081705;0.0
2023081706;0.0
2023081707;0.0
2023081708;0.0
2023081709;0.0
2023081710;1.0
2023081711;0.0
2023081712;4.0
2023081713;3.0
2023081714;21.0
2023081715;22.0
2023081716;5.0
2023081717;0.0
2023081718;2.0
2023081719;0.0
2023081720;0.0
2023081803;0.0
2023081804;0.0
2023081805;0.0
2023081806;17.0
2023081807;30.0
2023081808;33.0
2023081809;32.0
2023081810;49.0
2023081811;58.0
2023081812;60.0
2023081813;60.0
2023081814;60.0
2023081815;60.0
2023081816;60.0
2023081817;37.0
2023081818;55.0
2023081819;2.0
2023081820;0.0
2023081903;0.0
2023081904;0.0
2023081905;12.0
2023081906;60.0
2023081907;60.0
2023081908;60.0
2023081909;60.0
2023081910;60.0
2023081911;60.0
2023081912;60.0
2023081913;50.0
2023081914;36.0
2023081915;16.0
2023081916;0.0
2023081917;0.0
2023081918;0.0
2023081919;0.0
2023081920;0.0
2023082003;0.0
2023082004;0.0
2023082005;7.0
2023082006;11.0
2023082007;22.0
2023082008;45.0
2023082009;60.0
2023082010;20.0
2023082011;53.0
2023082012;12.0
2023082013;33.0
2023082014;2.0
2023082015;3.0
2023082016;32.0
2023082017;45.0
2023082018;31.0
2023082019;0.0
2023082020;0.0
2023082103;0.0
2023082104;0.0
2023082105;0.0
2023082106;45.0
2023082107;59.0
2023082108;46.0
2023082109;6.0
2023082110;31.0
2023082111;1.0
2023082112;2.0
2023082113;4.0
2023082114;21.0
2023082115;4.0
2023082116;0.0
2023082117;9.0
2023082118;1.0
2023082119;0.0
2023082120;0.0
2023082203;0.0
2023082204;0.0
2023082205;2.0
2023082206;16.0
2023082207;22.0
2023082208;16.0
2023082209;28.0
2023082210;38.0
2023082211;53.0
2023082212;44.0
2023082213;49.0
2023082214;37.0
2023082215;37.0
2023082216;1.0
2023082217;0.0
2023082218;6.0
2023082219;1.0
2023082220;0.0
2023082303;0.0
2023082304;0.0
2023082305;18.0
2023082306;60.0
2023082307;60.0
2023082308;60.0
2023082309;60.0
2023082310;60.0
2023082311;60.0
2023082312;60.0
2023082313;59.0
2023082314;60.0
2023082315;58.0
2023082316;55.0
2023082317;56.0
2023082318;59.0
2023082319;24.0
2023082320;0.0
2023082403;0.0
2023082404;0.0
2023082405;13.0
2023082406;60.0
2023082407;43.0
2023082408;0.0
2023082409;4.0
2023082410;5.0
2023082411;10.0
2023082412;59.0
2023082413;60.0
2023082414;60.0
2023082415;32.0
2023082416;44.0
2023082417;16.0
2023082418;0.0
2023082419;0.0
2023082420;0.0
2023082503;0.0
2023082504;0.0
2023082505;8.0
2023082506;60.0
2023082507;60.0
2023082508;60.0
2023082509;35.0
2023082510;5.0
2023082511;1.0
2023082512;0.0
2023082513;0.0
2023082514;2.0
2023082515;0.0
2023082516;0.0
2023082517;20.0
2023082518;42.0
2023082519;0.0
2023082520;0.0
2023082603;0.0
2023082604;0.0
2023082605;0.0
2023082606;0.0
2023082607;0.0
2023082608;2.0
2023082609;11.0
2023082610;60.0
2023082611;57.0
2023082612;52.0
2023082613;48.0
2023082614;43.0
2023082615;33.0
2023082616;34.0
2023082617;15.0
2023082618;38.0
2023082619;10.0
2023082620;0.0
2023082703;0.0
2023082704;0.0
2023082705;0.0
2023082706;0.0
2023082707;0.0
2023082708;1.0
2023082709;0.0
2023082710;1.0
2023082711;29.0
2023082712;21.0
2023082713;14.0
2023082714;17.0
2023082715;9.0
2023082716;0.0
2023082717;0.0
2023082718;0.0
2023082719;0.0
2023082720;0.0
2023082803;0.0
2023082804;0.0
2023082805;0.0
2023082806;0.0
2023082807;23.0
2023082808;45.0
2023082809;25.0
2023082810;2.0
2023082811;50.0
2023082812;13.0
2023082813;2.0
2023082814;10.0
2023082815;44.0
2023082816;1.0
2023082817;0.0
2023082818;0.0
2023082819;0.0
2023082820;0.0
2023082903;0.0
2023082904;0.0
2023082905;0.0
2023082906;0.0
2023082907;0.0
2023082908;0.0
2023082909;0.0
2023082910;0.0
2023082911;0.0
2023082912;2.0
2023082913;0.0
2023082914;22.0
2023082915;0.0
2023082916;0.0
2023082917;11.0
2023082918;16.0
2023082919;0.0
2023082920;0.0
2023083003;0.0
2023083004;0.0
2023083005;0.0
2023083006;44.0
2023083007;60.0
2023083008;59.0
2023083009;44.0
2023083010;49.0
2023083011;45.0
2023083012;18.0
2023083013;17.0
2023083014;8.0
2023083015;25.0
2023083016;18.0
2023083017;25.0
2023083018;0.0
2023083019;0.0
2023083020;0.0
2023083103;0.0
2023083104;0.0
2023083105;0.0
2023083106;0.0
2023083107;0.0
2023083108;1.0
2023083109;1.0
2023083110;7.0
2023083111;7.0
2023083112;0.0
2023083113;4.0
2023083114;0.0
2023083115;3.0
2023083116;15.0
2023083117;0.0
2023083118;26.0
2023083119;0.0
2023083120;0.0
2023090103;0.0
2023090104;0.0
2023090105;0.0
2023090106;2.0
2023090107;46.0
2023090108;52.0
2023090109;51.0
2023090110;52.0
2023090111;9.0
2023090112;9.0
2023090113;0.0
2023090114;0.0
2023090115;0.0
2023090116;0.0
2023090117;0.0
2023090118;0.0
2023090119;0.0
2023090120;0.0
2023090203;0.0
2023090204;0.0
2023090205;2.0
2023090206;19.0
2023090207;0.0
2023090208;4.0
2023090209;35.0
2023090210;14.0
