MESS_DATUM;F;D
2015012022;4.5;310
2015012023;4.4;290
2015012100;4.4;290
2015012101;1.5;330
2015012102;1.8;60
2015012103;2.9;100
2015012104;4.5;170
2015012105;3.7;210
2015012106;3.7;190
2015012107;4.6;190
2015012108;5.8;180
2015012109;5.6;180
2015012110;6.6;170
2015012111;7.4;160
2015012112;6.9;150
2015012113;6.9;140
2015012114;7.2;140
2015012115;8.0;130
2015012116;8.3;130
2015012117;8.2;150
2015012118;8.3;150
2015012119;8.0;120
2015012120;8.3;120
2015012121;8.9;120
2015012122;8.7;120
2015012123;8.3;120
2015012200;7.6;130
2015012201;6.6;130
2015012202;8.0;130
2015012203;7.3;130
2015012204;7.5;120
2015012205;7.0;110
2015012206;8.7;110
2015012207;9.5;110
2015012208;10.5;100
2015012209;11.0;100
2015012210;10.5;100
2015012211;10.1;90
2015012212;10.7;90
2015012213;10.6;80
2015012214;10.4;80
2015012215;10.5;70
2015012216;10.6;70
2015012217;10.8;60
2015012218;10.6;50
2015012219;10.8;50
2015012220;11.6;50
2015012221;11.6;50
2015012222;9.9;40
2015012223;10.6;40
2015012300;10.0;40
2015012301;10.1;40
2015012302;10.2;30
2015012303;10.7;30
2015012304;10.6;30
2015012305;9.4;20
2015012306;9.1;20
2015012307;7.8;20
2015012308;6.6;30
2015012309;6.4;20
2015012310;4.8;30
2015012311;4.1;60
2015012312;3.1;60
2015012313;2.5;60
2015012314;1.9;110
2015012315;1.7;130
2015012316;3.0;190
2015012317;3.9;180
2015012318;4.2;190
2015012319;6.0;190
2015012320;7.3;190
2015012321;7.7;200
2015012322;7.5;210
2015012323;8.3;220
2015012400;8.9;220
2015012401;9.6;220
2015012402;10.6;240
2015012403;10.6;240
2015012404;11.0;250
2015012405;11.9;240
2015012406;12.0;250
2015012407;10.6;250
2015012408;10.9;250
2015012409;11.0;250
2015012410;10.2;260
2015012411;10.8;260
2015012412;10.3;260
2015012413;11.2;260
2015012414;13.2;260
2015012415;13.7;270
2015012416;12.2;270
2015012417;11.2;290
2015012418;11.2;310
2015012419;13.8;330
2015012420;14.7;340
2015012421;15.1;340
2015012422;14.4;340
2015012423;14.7;340
2015012500;13.7;340
2015012501;12.7;330
2015012502;11.7;330
2015012503;11.1;330
2015012504;10.4;320
2015012505;9.1;320
2015012506;9.0;310
2015012507;9.2;300
2015012508;9.1;310
2015012509;8.6;320
2015012510;7.5;310
2015012511;7.0;310
2015012512;6.7;310
2015012513;6.7;320
2015012514;7.0;300
2015012515;8.2;300
2015012516;9.1;310
2015012517;9.0;310
2015012518;8.5;310
2015012519;8.7;300
2015012520;8.3;300
2015012521;8.3;300
2015012522;7.8;310
2015012523;7.5;310
2015012600;7.2;280
2015012601;6.5;260
2015012602;6.3;250
2015012603;7.1;260
2015012604;6.8;260
2015012605;7.4;250
2015012606;8.6;230
2015012607;10.0;220
2015012608;11.1;230
2015012609;13.2;220
2015012610;14.1;230
2015012611;13.8;220
2015012612;14.7;230
2015012613;15.4;230
2015012614;14.7;240
2015012615;14.1;230
2015012616;13.3;240
2015012617;12.9;240
2015012618;13.8;250
2015012619;15.4;270
2015012620;15.2;290
2015012621;15.7;290
2015012622;14.8;300
2015012623;14.7;310
2015012700;13.1;310
2015012701;13.4;320
2015012702;13.0;320
2015012703;13.6;320
2015012704;13.8;320
2015012705;13.4;320
2015012706;14.0;330
2015012707;13.7;320
2015012708;12.3;320
2015012709;13.1;320
2015012710;13.7;320
2015012711;14.9;320
2015012712;13.0;310
2015012713;13.1;310
2015012714;12.1;310
2015012715;11.6;310
2015012716;11.1;310
2015012717;11.3;310
2015012718;11.6;310
2015012719;12.0;310
2015012720;12.1;310
2015012721;12.5;310
2015012722;12.1;310
2015012723;12.7;310
2015012800;13.2;290
2015012801;13.2;280
2015012802;12.6;280
2015012803;11.8;270
2015012804;13.1;260
2015012805;13.5;250
2015012806;15.3;240
2015012807;16.8;240
2015012808;17.6;230
2015012809;21.4;230
2015012810;21.0;230
2015012811;23.2;230
2015012812;23.7;220
2015012813;26.3;220
2015012814;25.7;220
2015012815;28.8;220
2015012816;31.3;220
2015012817;29.3;210
2015012818;29.6;220
2015012819;31.0;230
2015012820;28.2;230
2015012821;25.2;250
2015012822;20.3;260
2015012823;20.0;260
2015012900;19.2;260
2015012901;19.6;260
2015012902;18.1;250
2015012903;18.8;260
2015012904;20.3;250
2015012905;19.4;250
2015012906;21.4;240
2015012907;22.1;230
2015012908;23.6;230
2015012909;23.6;230
2015012910;22.1;230
2015012911;20.4;230
2015012912;19.8;230
2015012913;18.5;230
2015012914;17.6;230
2015012915;17.5;230
2015012916;17.4;220
2015012917;16.2;210
2015012918;18.0;210
2015012919;15.8;210
2015012920;15.0;200
2015012921;15.2;190
2015012922;15.7;200
2015012923;14.1;210
2015013000;13.7;210
2015013001;10.4;200
2015013002;8.5;200
2015013003;6.3;220
2015013004;5.7;240
2015013005;6.4;240
2015013006;7.2;250
2015013007;7.5;260
2015013008;9.5;260
2015013009;12.1;260
2015013010;14.2;250
2015013011;15.0;240
2015013012;15.6;240
2015013013;14.8;240
2015013014;14.0;250
2015013015;13.0;260
2015013016;12.6;260
2015013017;12.7;270
2015013018;11.8;280
2015013019;11.0;290
2015013020;11.0;290
2015013021;10.9;290
2015013022;10.9;280
2015013023;12.1;280
2015013100;11.6;270
2015013101;10.7;270
2015013102;12.1;260
2015013103;11.7;250
2015013104;11.2;240
2015013105;11.9;220
2015013106;11.1;230
2015013107;9.3;240
2015013108;8.6;260
2015013109;12.3;270
2015013110;15.2;270
2015013111;14.9;270
2015013112;14.2;270
2015013113;14.4;260
2015013114;15.0;260
2015013115;15.3;260
2015013116;14.0;260
2015013117;14.2;260
2015013118;15.2;260
2015013119;13.9;260
2015013120;13.8;250
2015013121;14.1;250
2015013122;13.4;240
2015013123;12.6;250
2015020100;11.5;250
2015020101;12.3;250
2015020102;12.2;260
2015020103;11.9;260
2015020104;11.8;260
2015020105;11.4;260
2015020106;9.6;250
2015020107;9.1;250
2015020108;10.2;250
2015020109;10.7;250
2015020110;10.6;250
2015020111;10.1;250
2015020112;10.4;250
2015020113;10.1;250
2015020114;10.5;250
2015020115;11.3;260
2015020116;11.8;250
2015020117;12.4;250
2015020118;12.1;250
2015020119;11.9;250
2015020120;12.8;260
2015020121;13.3;270
2015020122;12.2;270
2015020123;10.5;280
2015020200;10.4;280
2015020201;11.3;280
2015020202;13.2;280
2015020203;13.6;290
2015020204;12.8;290
2015020205;11.5;290
2015020206;10.7;290
2015020207;11.9;280
2015020208;11.8;270
2015020209;10.8;260
2015020210;12.2;260
2015020211;13.1;260
2015020212;13.4;260
2015020213;13.9;260
2015020214;15.6;260
2015020215;15.3;260
2015020216;13.6;260
2015020217;13.2;270
2015020218;13.6;270
2015020219;13.0;270
2015020220;12.4;270
2015020221;11.5;270
2015020222;10.6;280
2015020223;11.7;270
2015020300;13.7;270
2015020301;14.4;270
2015020302;16.3;270
2015020303;15.2;260
2015020304;14.8;270
2015020305;12.9;270
2015020306;12.1;270
2015020307;11.7;270
2015020308;11.4;260
2015020309;12.4;250
2015020310;12.4;260
2015020311;13.6;270
2015020312;11.9;270
2015020313;9.2;300
2015020314;8.3;310
2015020315;8.5;300
2015020316;8.0;300
2015020317;8.6;310
2015020318;8.5;310
2015020319;7.7;330
2015020320;5.8;330
2015020321;5.8;330
2015020322;5.0;340
2015020323;7.2;330
2015020400;9.2;340
2015020401;8.6;330
2015020402;8.4;330
2015020403;8.9;330
2015020404;9.1;340
2015020405;8.3;340
2015020406;5.4;360
2015020407;7.4;350
2015020408;7.0;340
2015020409;5.3;350
2015020410;5.3;340
2015020411;4.9;330
2015020412;4.4;310
2015020413;6.2;290
2015020414;7.1;280
2015020415;6.0;300
2015020416;6.7;280
2015020417;6.9;290
2015020418;7.1;310
2015020419;7.4;340
2015020420;6.3;340
2015020421;5.4;350
2015020422;5.1;350
2015020423;2.9;350
2015020500;1.4;10
2015020501;2.4;70
2015020502;3.6;80
2015020503;3.9;80
2015020504;4.1;60
2015020505;3.9;50
2015020506;4.7;40
2015020507;5.3;50
2015020508;4.0;30
2015020509;5.9;50
2015020510;7.7;40
2015020511;9.4;40
2015020512;10.2;60
2015020513;10.4;60
2015020514;11.4;80
2015020515;11.8;80
2015020516;12.9;80
2015020517;13.7;80
2015020518;14.9;80
2015020519;15.3;70
2015020520;16.2;70
2015020521;16.5;80
2015020522;18.4;80
2015020523;17.3;80
2015020600;16.3;80
2015020601;16.4;90
2015020602;16.2;90
2015020603;16.2;80
2015020604;16.3;80
2015020605;17.3;90
2015020606;17.2;90
2015020607;17.3;90
2015020608;16.4;90
2015020609;15.7;80
2015020610;14.6;80
2015020611;14.9;80
2015020612;13.9;80
2015020613;13.4;80
2015020614;12.5;70
2015020615;12.8;70
2015020616;14.3;70
2015020617;14.8;70
2015020618;14.6;70
2015020619;14.1;70
2015020620;14.2;70
2015020621;14.0;70
2015020622;13.8;70
2015020623;12.8;70
2015020700;11.9;70
2015020701;10.9;60
2015020702;10.8;60
2015020703;10.1;60
2015020704;7.9;70
2015020705;6.8;50
2015020706;6.6;30
2015020707;3.3;10
2015020708;8.3;340
2015020709;8.1;320
2015020710;11.7;300
2015020711;13.6;300
2015020712;15.8;300
2015020713;16.3;300
2015020714;13.4;310
2015020715;15.3;300
2015020716;16.2;300
2015020717;16.0;310
2015020718;16.2;310
2015020719;17.2;320
2015020720;18.7;330
2015020721;18.2;330
2015020722;18.9;330
2015020723;19.9;330
2015020800;21.1;330
2015020801;22.9;340
2015020802;25.4;340
2015020803;25.9;350
2015020804;22.6;350
2015020805;18.2;350
2015020806;16.6;350
2015020807;17.3;350
2015020808;-999.0;360
2015020809;-999.0;360
2015020810;-999.0;360
2015020811;-999.0;360
2015020812;-999.0;360
2015020813;-999.0;360
2015020814;-999.0;360
2015020815;-999.0;350
2015020816;-999.0;340
2015020817;-999.0;340
2015020818;-999.0;340
2015020819;-999.0;340
2015020820;-999.0;320
2015020821;-999.0;330
2015020822;-999.0;330
2015020823;-999.0;310
2015020900;-999.0;310
2015020901;-999.0;300
2015020902;-999.0;300
2015020903;-999.0;300
2015020904;-999.0;300
2015020905;-999.0;310
2015020906;-999.0;300
2015020907;-999.0;290
2015020908;-999.0;300
2015020909;-999.0;300
2015020910;17.8;310
2015020911;18.7;310
2015020912;18.2;310
2015020913;19.0;310
2015020914;19.1;310
2015020915;19.3;310
2015020916;18.8;310
2015020917;19.0;310
2015020918;19.9;320
2015020919;18.6;310
