Date;Open;High;Low;Last;Volume;Status
09.07.2021;74,39;75,8;73,8;75,55;248179;0
12.07.2021;75,79;75,84;74,23;75,16;262298;0
13.07.2021;75,25;76,6;74,93;76,49;275913;0
14.07.2021;76,28;76,72;73,79;74,76;376936;0
15.07.2021;74,5;74,59;73,19;73,47;322328;0
16.07.2021;73,18;74,09;72,34;73,59;292660;0
19.07.2021;72,86;73,34;67,75;68,62;510920;0
20.07.2021;68,99;69,73;67,44;69,35;316477;0
21.07.2021;68,92;72,38;68,63;72,23;306322;0
22.07.2021;72,24;73,9;71,74;73,79;251602;0
23.07.2021;73,56;74,22;73,32;74,1;181662;0
26.07.2021;74,12;74,84;72,75;74,5;210637;0
27.07.2021;74,67;75,05;74,02;74,48;181936;0
28.07.2021;74,77;75,32;74,42;74,74;111619;0
29.07.2021;74,76;76,15;74,63;76,05;78273;0
30.07.2021;75,81;76,38;75,38;76,33;14392;0
02.08.2021;75,39;75,39;72,31;72,89;304873;0
03.08.2021;73,08;73,55;71,05;72,41;303729;0
04.08.2021;72,33;72,83;70,11;70,38;370132;0
05.08.2021;70,27;71,5;69,75;71,29;261052;0
06.08.2021;71,2;72,43;70,28;70,7;298955;0
09.08.2021;70,26;70,26;67,6;69,04;353678;0
10.08.2021;69,35;71,24;68,94;70,63;246128;0
11.08.2021;70,83;71,72;69,07;71,44;324038;0
12.08.2021;71,57;71,9;70,67;71,31;224987;0
13.08.2021;71,12;71,38;70;70,59;202417;0
16.08.2021;70,05;70,45;68,14;69,51;294024;0
17.08.2021;69,77;70;68,82;69,03;239956;0
18.08.2021;68,96;70,04;67,23;68,23;316976;0
19.08.2021;67,57;67,64;65,57;66,45;345974;0
20.08.2021;66,54;66,93;64,94;65,18;254451;0
23.08.2021;64,97;68,9;64,6;68,75;271564;0
24.08.2021;68,66;71,27;68,53;71,05;301295;0
25.08.2021;71;72,42;70,5;72,25;242068;0
26.08.2021;71,94;72,13;70,66;71,07;179568;0
27.08.2021;71,53;72,76;71,17;72,7;92199;0
30.08.2021;73,25;73,69;72;73,41;68657;0
31.08.2021;73,14;73,52;72,62;72,99;12592;0
01.09.2021;71,68;72,38;70,42;71,59;282490;0
02.09.2021;71,31;73,47;70,92;73,03;255422;0
03.09.2021;72,86;73,69;72,4;72,61;211423;0
06.09.2021;72,57;72,78;71,51;72,22;127870;0
07.09.2021;72,29;72,81;71,1;71,69;257397;0
08.09.2021;71,64;72,95;71,55;72,6;325358;0
09.09.2021;72,61;73,2;70,88;71,45;377808;0
10.09.2021;71,37;73,15;70,94;72,92;250505;0
13.09.2021;72,88;73,92;72,69;73,51;244731;0
14.09.2021;73,62;74,28;73,08;73,6;278577;0
15.09.2021;73,92;76,13;73,78;75,46;289449;0
16.09.2021;75,46;75,87;74,48;75,67;236511;0
17.09.2021;75,68;75,78;74,58;75,34;254860;0
20.09.2021;75,33;75,4;73,52;73,92;313752;0
21.09.2021;74,33;75,18;73,26;74,36;258712;0
22.09.2021;74,56;76,26;74,49;76,19;255750;0
23.09.2021;75,9;77,35;75,6;77,25;226594;0
24.09.2021;77,26;78,24;76,85;78,09;163225;0
27.09.2021;78,25;79,9;78,21;79,53;231127;0
28.09.2021;79,4;80,75;78,1;79,09;132328;0
29.09.2021;78,25;79,4;77,5;78,64;97967;0
30.09.2021;78,46;79,11;77,6;78,52;20505;0
01.10.2021;78,49;79,41;77,55;79,28;282370;0
04.10.2021;79,49;82;78,75;81,26;362369;0
05.10.2021;81,27;83,13;81,19;82,56;340269;0
06.10.2021;82,57;83,47;80,6;81,08;401358;0
07.10.2021;80,98;82,5;79,08;81,95;393098;0
08.10.2021;82,38;83,43;81,96;82,39;360971;0
11.10.2021;82,65;84,6;82,54;83,65;330444;0
12.10.2021;83,49;84,23;82,72;83,42;331408;0
13.10.2021;83,1;83,69;82,2;83,18;333681;0
14.10.2021;83,45;84,5;83,18;84;316636;0
15.10.2021;84,3;85,1;84,16;84,86;276465;0
18.10.2021;84,95;86,04;83,95;84,33;340957;0
19.10.2021;84,21;85,4;83,7;85,08;371791;0
20.10.2021;85,19;85,89;83,61;85,82;378692;0
21.10.2021;85,9;86,1;83,36;84,61;373646;0
22.10.2021;84,52;85,93;83,82;85,53;298347;0
25.10.2021;85,65;86,7;85,43;85,99;294554;0
26.10.2021;86,03;86,5;85,27;86,4;222562;0
27.10.2021;86,07;86,28;84,05;84,58;149747;0
28.10.2021;84,21;84,59;82,32;84,32;118142;0
29.10.2021;84,33;84,83;83,79;84,38;22766;0
01.11.2021;83,63;85,12;83,03;84,71;302904;0
02.11.2021;84,45;85,23;83,76;84,72;317069;0
03.11.2021;84,07;84,2;81,1;81,99;380105;0
04.11.2021;81,58;84,49;80,2;80,54;472428;0
05.11.2021;81,25;83,16;80,26;82,74;379685;0
08.11.2021;82,58;84;82,53;83,43;269601;0
09.11.2021;83,47;85,3;83,16;84,78;346571;0
10.11.2021;84,99;85,5;82,08;82,64;366309;0
11.11.2021;82,85;83,44;81,66;82,87;336137;0
12.11.2021;82,83;82,87;81,26;82,17;289298;0
15.11.2021;81,92;82,49;80,67;82,05;273717;0
16.11.2021;82;83,14;81,52;82,43;340716;0
17.11.2021;82,05;82,22;79,78;80,28;406749;0
18.11.2021;80,1;81,41;79,28;81,24;306849;0
