MESS_DATUM;SD_SO
2023080304;0.0
2023080305;26.0
2023080306;60.0
2023080307;60.0
2023080308;60.0
2023080309;60.0
2023080310;60.0
2023080311;59.0
2023080312;56.0
2023080313;55.0
2023080314;53.0
2023080315;51.0
2023080316;33.0
2023080317;16.0
2023080318;10.0
2023080319;31.0
2023080320;0.0
2023080403;0.0
2023080404;0.0
2023080405;0.0
2023080406;0.0
2023080407;0.0
2023080408;0.0
2023080409;3.0
2023080410;2.0
2023080411;5.0
2023080412;19.0
2023080413;42.0
2023080414;3.0
2023080415;0.0
2023080416;0.0
2023080417;1.0
2023080418;1.0
2023080419;0.0
2023080420;0.0
2023080503;0.0
2023080504;0.0
2023080505;0.0
2023080506;0.0
2023080507;0.0
2023080508;0.0
2023080509;0.0
2023080510;0.0
2023080511;0.0
2023080512;3.0
2023080513;0.0
2023080514;2.0
2023080515;0.0
2023080516;0.0
2023080517;0.0
2023080518;0.0
2023080519;0.0
2023080520;0.0
2023080603;0.0
2023080604;0.0
2023080605;0.0
2023080606;1.0
2023080607;0.0
2023080608;0.0
2023080609;7.0
2023080610;8.0
2023080611;1.0
2023080612;11.0
2023080613;5.0
2023080614;4.0
2023080615;1.0
2023080616;0.0
2023080617;0.0
2023080618;0.0
2023080619;0.0
2023080620;0.0
2023080703;0.0
2023080704;0.0
2023080705;0.0
2023080706;0.0
2023080707;0.0
2023080708;6.0
2023080709;0.0
2023080710;0.0
2023080711;10.0
2023080712;9.0
2023080713;25.0
2023080714;10.0
2023080715;16.0
2023080716;0.0
2023080717;0.0
2023080718;0.0
2023080719;0.0
2023080720;0.0
2023080803;0.0
2023080804;0.0
2023080805;0.0
2023080806;10.0
2023080807;38.0
2023080808;60.0
2023080809;60.0
2023080810;54.0
2023080811;55.0
2023080812;52.0
2023080813;43.0
2023080814;42.0
2023080815;60.0
2023080816;59.0
2023080817;34.0
2023080818;0.0
2023080819;0.0
2023080820;0.0
2023080903;0.0
2023080904;0.0
2023080905;0.0
2023080906;0.0
2023080907;0.0
2023080908;0.0
2023080909;0.0
2023080910;0.0
2023080911;8.0
2023080912;37.0
2023080913;4.0
2023080914;17.0
2023080915;0.0
2023080916;0.0
2023080917;0.0
2023080918;0.0
2023080919;0.0
2023080920;0.0
2023081003;0.0
2023081004;0.0
2023081005;38.0
2023081006;60.0
2023081007;60.0
2023081008;60.0
2023081009;60.0
2023081010;60.0
2023081011;60.0
2023081012;60.0
2023081013;58.0
2023081014;60.0
2023081015;60.0
2023081016;60.0
2023081017;60.0
2023081018;60.0
2023081019;37.0
2023081020;0.0
2023081103;0.0
2023081104;0.0
2023081105;38.0
2023081106;60.0
2023081107;60.0
2023081108;60.0
2023081109;60.0
2023081110;60.0
2023081111;60.0
2023081112;60.0
2023081113;60.0
2023081114;60.0
2023081115;60.0
2023081116;60.0
2023081117;60.0
2023081118;56.0
2023081119;26.0
2023081120;0.0
2023081203;0.0
2023081204;0.0
2023081205;37.0
2023081206;60.0
2023081207;60.0
2023081208;60.0
2023081209;60.0
2023081210;35.0
2023081211;39.0
2023081212;57.0
2023081213;60.0
2023081214;34.0
2023081215;35.0
2023081216;8.0
2023081217;51.0
2023081218;19.0
2023081219;0.0
2023081220;0.0
2023081303;0.0
2023081304;0.0
2023081305;14.0
2023081306;60.0
2023081307;43.0
2023081308;46.0
2023081309;37.0
2023081310;26.0
2023081311;60.0
2023081312;60.0
2023081313;60.0
2023081314;60.0
2023081315;43.0
2023081316;0.0
2023081317;25.0
2023081318;1.0
2023081319;0.0
2023081320;0.0
2023081403;0.0
2023081404;0.0
2023081405;18.0
2023081406;55.0
2023081407;51.0
2023081408;52.0
2023081409;60.0
2023081410;47.0
2023081411;60.0
2023081412;49.0
2023081413;57.0
2023081414;50.0
2023081415;59.0
2023081416;60.0
2023081417;60.0
2023081418;60.0
2023081419;6.0
2023081420;0.0
2023081503;0.0
2023081504;0.0
2023081505;24.0
2023081506;60.0
2023081507;60.0
2023081508;60.0
2023081509;60.0
2023081510;55.0
2023081511;60.0
2023081512;56.0
2023081513;0.0
2023081514;0.0
2023081515;0.0
2023081516;0.0
2023081517;0.0
2023081518;0.0
2023081519;0.0
2023081520;0.0
2023081603;0.0
2023081604;0.0
2023081605;0.0
2023081606;36.0
2023081607;40.0
2023081608;60.0
2023081609;60.0
2023081610;60.0
2023081611;60.0
2023081612;60.0
2023081613;60.0
2023081614;60.0
2023081615;60.0
2023081616;60.0
2023081617;60.0
2023081618;60.0
2023081619;8.0
2023081620;0.0
2023081703;0.0
2023081704;0.0
2023081705;0.0
2023081706;0.0
2023081707;38.0
2023081708;59.0
2023081709;60.0
2023081710;60.0
2023081711;60.0
2023081712;60.0
2023081713;55.0
2023081714;60.0
2023081715;60.0
2023081716;60.0
2023081717;0.0
2023081718;0.0
