MESS_DATUM;V_N
2023081412;8
2023081413;1
2023081414;7
2023081415;0
2023081416;0
2023081417;0
2023081418;3
2023081419;0
2023081420;0
2023081421;4
2023081422;7
2023081423;0
2023081500;3
2023081501;8
2023081502;8
2023081503;0
2023081504;0
2023081505;2
2023081506;4
2023081507;7
2023081508;8
2023081509;0
2023081510;0
2023081511;6
2023081512;2
2023081513;8
2023081514;8
2023081515;8
2023081516;8
2023081517;8
2023081518;8
2023081519;8
2023081520;8
2023081521;8
2023081522;8
2023081523;8
2023081600;8
2023081601;8
2023081602;7
2023081603;4
2023081604;3
2023081605;7
2023081606;5
2023081607;4
2023081608;0
2023081609;0
2023081610;0
2023081611;0
2023081612;0
2023081613;0
2023081614;0
2023081615;0
2023081616;0
2023081617;0
2023081618;0
2023081619;0
2023081620;0
2023081621;0
2023081622;0
2023081623;0
2023081700;0
2023081701;6
2023081702;4
2023081703;6
2023081704;7
2023081705;8
2023081706;8
2023081707;6
2023081708;0
2023081709;0
2023081710;0
2023081711;2
2023081712;5
2023081713;4
2023081714;4
2023081715;2
2023081716;3
2023081717;8
2023081718;8
2023081719;8
2023081720;8
2023081721;8
2023081722;8
2023081723;8
2023081800;8
2023081801;7
2023081802;8
2023081803;8
2023081804;8
2023081805;8
2023081806;8
2023081807;8
2023081808;7
2023081809;6
2023081810;3
2023081811;5
2023081812;7
2023081813;6
2023081814;0
2023081815;0
2023081816;0
2023081817;0
2023081818;0
2023081819;0
2023081820;0
2023081821;0
2023081822;0
2023081823;0
2023081900;0
2023081901;0
2023081902;0
2023081903;0
2023081904;0
2023081905;0
2023081906;0
2023081907;0
2023081908;0
2023081909;0
2023081910;0
2023081911;0
2023081912;0
2023081913;1
2023081914;0
2023081915;0
2023081916;0
2023081917;0
2023081918;0
2023081919;0
2023081920;1
2023081921;0
2023081922;0
2023081923;8
2023082000;8
2023082001;4
2023082002;7
2023082003;7
2023082004;8
2023082005;7
2023082006;0
2023082007;2
2023082008;0
2023082009;0
2023082010;0
2023082011;0
2023082012;0
2023082013;0
2023082014;0
2023082015;2
2023082016;7
2023082017;5
2023082018;0
2023082019;0
2023082020;0
2023082021;0
2023082022;0
2023082023;0
2023082100;5
2023082101;7
2023082102;8
2023082103;0
2023082104;0
2023082105;0
2023082106;0
2023082107;0
2023082108;1
2023082109;0
2023082110;1
2023082111;0
2023082112;0
2023082113;0
2023082114;0
2023082115;0
2023082116;0
2023082117;0
2023082118;0
2023082119;0
2023082120;0
2023082121;0
2023082122;0
2023082123;0
2023082200;0
2023082201;0
2023082202;0
2023082203;0
2023082204;0
2023082205;0
2023082206;0
2023082207;0
2023082208;0
2023082209;0
2023082210;0
2023082211;0
2023082212;0
2023082213;4
2023082214;1
2023082215;2
2023082216;0
2023082217;0
2023082218;0
2023082219;0
2023082220;0
2023082221;0
2023082222;0
2023082223;8
2023082300;7
2023082301;7
2023082302;8
2023082303;8
2023082304;7
2023082305;8
2023082306;5
2023082307;4
2023082308;7
2023082309;1
2023082310;1
2023082311;0
2023082312;1
2023082313;1
2023082314;2
2023082315;2
2023082316;1
2023082317;6
2023082318;3
2023082319;8
2023082320;4
2023082321;7
2023082322;7
2023082323;7
2023082400;8
2023082401;7
2023082402;6
2023082403;3
2023082404;2
2023082405;6
2023082406;7
2023082407;2
2023082408;6
2023082409;0
2023082410;0
2023082411;0
2023082412;0
2023082413;4
2023082414;7
2023082415;5
2023082416;7
2023082417;8
2023082418;8
2023082419;8
2023082420;8
2023082421;8
2023082422;7
2023082423;8
2023082500;7
2023082501;8
2023082502;8
2023082503;7
2023082504;8
2023082505;8
2023082506;8
2023082507;7
2023082508;6
2023082509;8
2023082510;8
2023082511;8
2023082512;3
2023082513;8
2023082514;8
2023082515;8
2023082516;7
2023082517;8
2023082518;8
2023082519;8
2023082520;8
2023082521;8
2023082522;8
2023082523;8
2023082600;7
2023082601;7
2023082602;7
2023082603;7
2023082604;8
2023082605;8
2023082606;8
2023082607;8
2023082608;7
2023082609;6
2023082610;7
2023082611;6
2023082612;7
2023082613;3
2023082614;7
2023082615;8
2023082616;8
2023082617;8
2023082618;8
2023082619;8
2023082620;8
2023082621;8
2023082622;6
2023082623;6
2023082700;8
2023082701;8
2023082702;7
2023082703;7
2023082704;7
2023082705;8
2023082706;8
2023082707;8
2023082708;7
2023082709;7
2023082710;7
2023082711;7
2023082712;7
2023082713;8
2023082714;8
2023082715;8
2023082716;8
2023082717;8
2023082718;8
2023082719;7
2023082720;8
2023082721;7
2023082722;8
2023082723;8
2023082800;7
2023082801;7
2023082802;7
2023082803;7
2023082804;8
2023082805;8
2023082806;8
2023082807;8
2023082808;8
2023082809;7
2023082810;7
2023082811;8
2023082812;8
2023082813;8
2023082814;8
2023082815;8
2023082816;8
2023082817;8
2023082818;7
2023082819;8
2023082820;8
2023082821;7
2023082822;7
2023082823;8
2023082900;8
2023082901;7
2023082902;8
2023082903;8
2023082904;8
2023082905;8
2023082906;8
2023082907;7
2023082908;8
2023082909;8
2023082910;8
2023082911;8
2023082912;8
2023082913;7
2023082914;8
2023082915;8
2023082916;8
2023082917;7
2023082918;8
2023082919;7
2023082920;7
2023082921;8
2023082922;7
2023082923;8
2023083000;7
2023083001;7
2023083002;7
2023083003;8
2023083004;8
2023083005;8
2023083006;8
2023083007;8
2023083008;8
2023083009;8
2023083010;8
2023083011;8
2023083012;8
2023083013;8
2023083014;7
2023083015;8
2023083016;7
2023083017;7
2023083018;1
2023083019;7
2023083020;8
2023083021;7
2023083022;8
2023083023;8
2023083100;8
2023083101;1
2023083102;5
2023083103;8
2023083104;8
2023083105;7
2023083106;7
2023083107;8
2023083108;8
2023083109;8
2023083110;8
2023083111;7
2023083112;6
2023083113;8
2023083114;8
2023083115;7
2023083116;8
2023083117;8
2023083118;8
2023083119;8
2023083120;8
2023083121;7
2023083122;8
2023083123;8
2023090100;7
2023090101;7
2023090102;7
2023090103;8
2023090104;8
2023090105;8
2023090106;8
2023090107;8
2023090108;8
2023090109;8
2023090110;7
2023090111;7
2023090112;7
2023090113;7
2023090114;8
2023090115;7
2023090116;8
2023090117;8
2023090118;7
2023090119;2
2023090120;5
2023090121;0
2023090122;7
2023090123;5
2023090200;5
2023090201;0
2023090202;1
2023090203;1
2023090204;0
2023090205;0
2023090206;2
2023090207;7
2023090208;8
2023090209;0
2023090210;0
2023090211;6
2023090212;3
2023090213;0
2023090214;3
2023090215;4
2023090216;4
2023090217;0
2023090218;8
2023090219;8
2023090220;6
2023090221;1
2023090222;0
2023090223;0
2023090300;0
2023090301;2
2023090302;7
2023090303;8
2023090304;7
2023090305;8
2023090306;7
2023090307;7
2023090308;7
2023090309;6
2023090310;7
2023090311;7
2023090312;7
2023090313;7
2023090314;7
2023090315;7
2023090316;7
2023090317;8
2023090318;8
2023090319;8
2023090320;8
2023090321;8
2023090322;8
2023090323;8
2023090400;8
2023090401;8
2023090402;8
2023090403;8
2023090404;8
2023090405;8
2023090406;4
2023090407;1
2023090408;2
2023090409;0
2023090410;0
2023090411;0
2023090412;0
2023090413;0
2023090414;0
2023090415;0
2023090416;0
2023090417;0
2023090418;0
2023090419;0
2023090420;0
2023090421;1
2023090422;0
2023090423;0
2023090500;0
2023090501;0
2023090502;0
2023090503;0
2023090504;0
2023090505;0
2023090506;0
2023090507;0
2023090508;0
2023090509;0
2023090510;0
2023090511;0
2023090512;0
2023090513;0
2023090514;0
2023090515;5
2023090516;0
2023090517;2
2023090518;0
2023090519;7
2023090520;3
